index,brand,product,name,specific,lightness,hex,lightToDark,numbers,id
2676,FENTY BEAUTY by Rihanna,Pro Filt'r Hydrating Longwear Foundation,,360,0.590196078431373,#C2986B,True,360.0,99.0
2677,Gucci,Fluide De Beauté Fini Naturel - Natural Finish Fluid Foundation,,360W,0.582352941176471,#C38F66,True,360.0,116.0
2678,Shiseido,Synchro Skin Self-Refreshing Foundation SPF 30,,360,0.772549019607843,#EBC19F,True,360.0,117.0
2679,Shiseido,Synchro Skin Self-Refreshing Custom Finish Powder Foundation,Citrine,360,0.619607843137255,#C89574,True,360.0,119.0
2680,Maybelline,Fit Me Matte + Poreless Liquid Foundation,Truffle,362,0.403921568627451,#90653E,True,362.0,104.0
2681,MAKE UP FOR EVER,Matte Velvet Skin Full Coverage Foundation,,Y363,0.735294117647059,#E0C297,True,363.0,123.0
2682,Anastasia Beverly Hills,Luminous Foundation,,365C,0.435294117647059,#9B6B43,True,365.0,91.0
2683,Maybelline,Fit Me Matte + Poreless Liquid Foundation,Nutmeg,365,0.425490196078431,#995840,True,365.0,104.0
2684,MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,,Y365,0.566666666666667,#AD8A74,True,365.0,122.0
2685,MAKE UP FOR EVER,Reboot Active Care Revitalizing Foundation,,Y365,0.654901960784314,#D0A47E,True,365.0,125.0
2686,MAKE UP FOR EVER,Matte Velvet Skin Blurring Powder Foundation,,Y365,0.8,#F8C0A0,True,365.0,126.0
2687,MAKE UP FOR EVER,Matte Velvet Skin Full Coverage Foundation,,Y365,0.690196078431373,#D5B48B,True,365.0,123.0
2688,MAKE UP FOR EVER,Ultra HD Invisible Cover Stick Foundation,,Y365,0.713725490196078,#D6AA96,True,365.0,124.0
2689,Maybelline,Fit Me Matte + Poreless Liquid Foundation,Deep Golden,368,0.380392156862745,#925730,True,368.0,104.0
2690,Anastasia Beverly Hills,Luminous Foundation,,370W,0.398039215686274,#936038,True,370.0,91.0
2691,Lancôme,Dual Finish Multi-Tasking Lightweight Pressed Powder Foundation,Bisque,370,0.607843137254902,#CF9667,True,370.0,120.0
2692,Maybelline,Fit Me Matte + Poreless Liquid Foundation,Deep Bronze,370,0.396078431372549,#8B553F,True,370.0,104.0
2693,Revlon,ColorStay Makeup For Normal/Dry Skin,Toast,370,0.613725490196078,#CB906E,True,370.0,112.0
2694,Maybelline,Super Stay Full Coverage Foundation,Deep Bronze,370,0.292156862745098,#67442E,True,370.0,105.0
2695,Lancôme,Teint Idole Ultra Wear 24H Long Wear Foundation,Bisque W,370,0.662745098039216,#D1AA81,True,370.0,88.0
2696,Lancôme,Rénergie Lift Makeup Lightweight Liquid Foundation SPF 27,Dore 25 W,370,0.625490196078431,#CC9B73,True,370.0,89.0
2697,ZOEVA,Authentik Skin Natural Luminous Foundation,Powerful,370C,0.503921568627451,#C96B38,True,370.0,78.0
2698,Exa,High Fidelity Foundation,Dawn,370,0.619607843137255,#CB9971,False,370.0,115.0
2699,SMITH & CULT,Veiled Threat Weightless Micro-Blurring Foundation,Neutral,370,0.584313725490196,#D0895A,True,370.0,95.0
2700,FENTY BEAUTY by Rihanna,Pro Filt'r Soft Matte Powder Foundation,,370,0.580392156862745,#CB865D,True,370.0,96.0
2701,FENTY BEAUTY by Rihanna,Pro Filt'r Soft Matte Longwear Foundation,,370,0.670588235294118,#E59E71,True,370.0,97.0
2702,MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,,R370,0.52156862745098,#A27E68,True,370.0,122.0
2703,Rare Beauty by Selena Gomez,Liquid Touch Weightless Foundation,,370N,0.643137254901961,#D99E6F,True,370.0,98.0
2704,MAKE UP FOR EVER,Reboot Active Care Revitalizing Foundation,,R370,0.650980392156863,#C5A087,True,370.0,125.0
2705,MAKE UP FOR EVER,Matte Velvet Skin Blurring Powder Foundation,,R370,0.768627450980392,#EEB29A,True,370.0,126.0
2706,FENTY BEAUTY by Rihanna,Pro Filt'r Hydrating Longwear Foundation,,370,0.635294117647059,#D09B74,True,370.0,99.0
2707,Gucci,Fluide De Beauté Fini Naturel - Natural Finish Fluid Foundation,,370O,0.564705882352941,#C18D5F,True,370.0,116.0
2708,MAKE UP FOR EVER,Matte Velvet Skin Full Coverage Foundation,,R370,0.703921568627451,#D4B393,True,370.0,123.0
2709,MAKE UP FOR EVER,Ultra HD Invisible Cover Stick Foundation,,R370,0.662745098039216,#D5A07D,True,370.0,124.0
2710,Givenchy,Teint Couture City Balm Radiant Perfecting Skin Tint SPF 25,,W370,0.527450980392157,#AC7B61,True,370.0,107.0
2711,MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,,Y373,0.733333333333333,#E0BF96,True,373.0,122.0
2712,Maybelline,Fit Me Matte + Poreless Liquid Foundation,Java,375,0.349019607843137,#76503C,True,375.0,104.0
2713,Maybelline,Super Stay Full Coverage Foundation,Java,375,0.282352941176471,#5D4233,True,375.0,105.0
2714,MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,,Y375,0.554901960784314,#B38768,True,375.0,122.0
